,Score,Averagescores
0,-632.4000000000003,-632.4000000000003
1,-656.3000000000006,-644.3500000000005
2,-56.00000000000061,-448.23333333333386
3,-43.80000000000036,-347.1250000000005
4,-58.00000000000065,-289.3000000000005
5,-61.00000000000068,-251.25000000000057
6,-30.00000000000014,-219.64285714285765
7,-56.00000000000057,-199.18750000000048
8,-28.200000000000113,-180.18888888888932
9,-58.00000000000064,-167.97000000000045
10,-59.00000000000065,-158.06363636363685
11,-57.00000000000066,-149.64166666666716
12,-59.00000000000065,-142.6692307692313
13,-57.00000000000065,-136.55000000000052
14,-19.499999999999986,-128.74666666666715
15,-614.9,-159.13125000000048
16,-53.00000000000063,-152.88823529411812
17,-52.00000000000062,-147.28333333333381
18,-56.00000000000063,-142.47894736842153
19,-58.00000000000065,-138.25500000000048
20,-13.19999999999997,-132.30000000000044
21,-55.200000000000564,-128.795454545455
22,-58.00000000000065,-125.71739130434828
23,-40.3000000000003,-122.15833333333381
24,-52.00000000000063,-119.35200000000049
25,-32.80000000000017,-116.0230769230774
26,-53.00000000000062,-113.68888888888935
27,-37.90000000000027,-110.98214285714332
28,-611.4,-128.2379310344832
29,-623.1000000000001,-144.73333333333375
30,-620.6,-160.08387096774237
31,-651.9000000000007,-175.45312500000045
32,-605.9000000000001,-188.49696969697013
33,-606.3000000000001,-200.78529411764748
34,-30.800000000000193,-195.92857142857184
35,-37.80000000000029,-191.53611111111152
36,-42.500000000000384,-187.5081081081085
37,-37.000000000000256,-183.54736842105302
38,-57.90000000000061,-180.32564102564143
39,-56.00000000000061,-177.2175000000004
40,-56.00000000000065,-174.2609756097565
41,-44.20000000000041,-171.16428571428614
42,-56.00000000000063,-168.48604651162833
43,-25.600000000000115,-165.2386363636368
44,-31.200000000000177,-162.26000000000042
45,-598.2,-171.73695652173953
46,-43.30000000000041,-169.00425531914934
47,-598.2,-177.9458333333337
48,-608.6,-186.7346938775514
49,-30.600000000000183,-183.61200000000036
50,-13.49999999999997,-180.27647058823567
51,-55.00000000000062,-177.86730769230806
52,-27.100000000000094,-175.02264150943432
53,-21.100000000000016,-172.1722222222226
54,-630.4000000000002,-180.5036363636367
55,-59.00000000000066,-178.33392857142894
56,-46.600000000000385,-176.02280701754424
57,-58.600000000000556,-173.99827586206933
58,-62.00000000000067,-172.10000000000036
59,-62.800000000000665,-170.2783333333337
60,-621.2,-177.67049180327908
61,-61.00000000000066,-175.78870967741972
62,-61.00000000000063,-173.96666666666704
63,-642.2000000000004,-181.28281250000038
64,-38.70000000000027,-179.08923076923114
65,-37.70000000000028,-176.9469696969701
66,-62.00000000000065,-175.23134328358248
67,-58.30000000000058,-173.51176470588274
68,-61.00000000000066,-171.88115942029023
69,-62.00000000000065,-170.31142857142896
70,-57.2000000000006,-168.7183098591553
71,-44.20000000000038,-166.9888888888893
72,-30.800000000000168,-165.12328767123327
73,-58.00000000000065,-163.67567567567608
74,-27.900000000000123,-161.86533333333372
75,-41.90000000000035,-160.28684210526353
76,-44.10000000000039,-158.77792207792245
77,-23.50000000000003,-157.0435897435901
78,-34.20000000000023,-155.4886075949371
79,-37.4000000000003,-154.0125000000004
80,-38.30000000000031,-152.58395061728436
81,-618.1,-158.26097560975649
82,-54.00000000000062,-157.00481927710882
83,-30.70000000000018,-155.50119047619086
84,-598.2,-160.7094117647063
85,-53.00000000000061,-159.45697674418645
86,-31.7000000000002,-157.98850574712682
87,-6.299999999999999,-156.26477272727308
88,-35.80000000000024,-154.91123595505655
89,-47.8000000000005,-153.7211111111115
90,-629.9000000000002,-158.9538461538465
91,-50.000000000000604,-157.76956521739166
92,-12.29999999999998,-156.20537634408637
93,-34.70000000000029,-154.91276595744716
94,-53.00000000000062,-153.84000000000034
95,-615.4,-158.64791666666704
