,x,t,obstacles
0,False,True,True
1,False,True,True
2,False,True,True
3,False,True,True
4,True,True,True
5,False,True,True
6,False,True,True
7,False,True,True
8,False,True,True
9,False,True,True
10,False,True,True
11,True,True,True
12,False,True,True
13,False,True,True
14,False,True,True
15,False,True,True
16,True,True,True
17,False,True,True
18,False,True,True
19,False,True,True
20,False,True,True
21,False,True,True
22,False,True,True
23,False,True,True
24,False,True,True
25,False,True,True
26,False,True,True
27,False,True,True
28,False,True,True
29,False,True,True
30,False,True,True
31,True,True,True
33,False,True,True
34,False,True,True
35,False,True,True
37,False,True,True
38,False,True,True
39,False,True,True
40,False,True,True
41,False,True,True
42,False,True,True
43,False,True,True
44,False,True,True
45,False,True,True
46,True,True,True
47,False,True,True
49,False,True,True
50,False,True,True
51,True,True,True
52,True,True,True
53,False,True,True
54,False,True,True
55,False,True,True
56,False,True,True
57,False,True,True
58,True,True,True
59,True,True,True
60,False,True,True
61,False,True,True
62,False,True,True
63,False,True,True
64,True,True,True
65,True,True,True
66,False,True,True
67,False,True,True
68,False,True,True
69,False,True,True
70,True,True,True
71,False,True,True
72,False,True,True
73,False,True,True
74,True,True,True
75,False,True,True
76,False,True,True
77,False,True,True
78,False,True,True
79,False,True,True
80,False,True,True
81,False,True,True
82,False,True,True
83,False,True,True
84,False,True,True
86,False,True,True
87,False,True,True
88,False,True,True
89,True,True,True
90,False,True,True
91,False,True,True
92,True,True,True
93,False,True,True
94,False,True,True
95,False,True,True
96,False,True,True
97,False,True,True
98,False,True,True
99,False,True,True
100,False,True,True
101,False,True,True
103,False,True,True
104,False,True,True
105,False,True,True
106,False,True,True
107,False,True,True
108,False,True,True
109,False,True,True
110,False,True,True
111,False,True,True
112,False,True,True
113,False,True,True
114,False,True,True
115,False,True,True
116,False,True,True
117,False,True,True
118,False,True,True
119,False,True,True
121,False,True,True
122,True,True,True
123,False,True,True
124,False,True,True
125,True,True,True
126,False,True,True
127,False,True,True
128,False,True,True
129,True,True,True
130,False,True,True
131,False,True,True
132,False,True,True
133,False,True,True
134,False,True,True
135,False,True,True
136,False,True,True
137,True,True,True
138,False,True,True
139,True,True,True
140,False,True,True
141,False,True,True
142,False,True,True
143,False,True,True
144,True,True,True
145,False,True,True
146,False,True,True
147,False,True,True
148,False,True,True
149,True,True,True
150,False,True,True
151,True,True,True
152,False,True,True
153,False,True,True
154,False,True,True
155,True,True,True
156,False,True,True
157,False,True,True
158,True,True,True
159,False,True,True
160,True,True,True
161,False,True,True
162,False,True,True
163,False,True,True
165,False,True,True
166,True,True,True
167,False,True,True
168,False,True,True
169,False,True,True
170,False,True,True
171,True,True,True
172,False,True,True
173,False,True,True
174,False,True,True
176,True,True,True
177,False,True,True
178,False,True,True
179,False,True,True
180,False,True,True
181,False,True,True
182,False,True,True
183,False,True,True
184,False,True,True
185,False,True,True
186,False,True,True
187,False,True,True
188,True,True,True
189,True,True,True
190,False,True,True
191,False,True,True
192,False,True,True
193,False,True,True
194,False,True,True
195,True,True,True
196,False,True,True
197,False,True,True
198,False,True,True
199,True,True,True
200,False,True,True
201,False,True,True
202,True,True,True
203,False,True,True
204,False,True,True
205,False,True,True
206,False,True,True
207,False,True,True
208,False,True,True
209,False,True,True
210,False,True,True
211,False,True,True
212,False,True,True
213,False,True,True
214,True,True,True
215,True,True,True
217,True,True,True
218,True,True,True
219,False,True,True
220,False,True,True
221,False,True,True
222,False,True,True
223,False,True,True
224,True,True,True
225,False,True,True
226,False,True,True
227,False,True,True
228,False,True,True
229,False,True,True
230,False,True,True
231,False,True,True
232,False,True,True
233,False,True,True
234,False,True,True
235,False,True,True
236,False,True,True
237,False,True,True
238,False,True,True
239,False,True,True
240,False,True,True
241,True,True,True
242,False,True,True
243,False,True,True
244,False,True,True
245,False,True,True
246,False,True,True
247,False,True,True
248,False,True,True
249,False,True,True
250,True,True,True
251,False,True,True
252,False,True,True
253,False,True,True
254,False,True,True
255,True,True,True
256,False,True,True
257,True,True,True
258,False,True,True
259,True,True,True
260,False,True,True
261,False,True,True
262,False,True,True
263,False,True,True
264,False,True,True
265,False,True,True
266,False,True,True
267,False,True,True
268,False,True,True
269,False,True,True
270,False,True,True
271,False,True,True
272,False,True,True
273,True,True,True
274,False,True,True
275,False,True,True
276,True,True,True
277,True,True,True
278,False,True,True
279,False,True,True
280,False,True,True
281,False,True,True
282,False,True,True
283,False,True,True
284,False,True,True
285,False,True,True
286,True,True,True
287,False,True,True
288,False,True,True
289,True,True,True
290,False,True,True
291,False,True,True
292,False,True,True
293,False,True,True
294,False,True,True
295,False,True,True
296,False,True,True
297,False,True,True
298,False,True,True
299,False,True,True
300,False,True,True
301,True,True,True
302,False,True,True
303,False,True,True
304,True,True,True
305,False,True,True
306,False,True,True
307,False,True,True
308,False,True,True
309,True,True,True
310,False,True,True
311,False,True,True
312,False,True,True
313,False,True,True
314,False,True,True
315,False,True,True
316,False,True,True
317,False,True,True
318,False,True,True
319,False,True,True
320,False,True,True
321,False,True,True
322,False,True,True
323,False,True,True
324,False,True,True
325,False,True,True
326,True,True,True
327,False,True,True
328,False,True,True
329,False,True,True
330,False,True,True
331,False,True,True
332,False,True,True
333,False,True,True
334,False,True,True
335,False,True,True
336,False,True,True
337,False,True,True
338,False,True,True
339,False,True,True
340,True,True,True
341,True,True,True
342,False,True,True
343,False,True,True
344,False,True,True
345,False,True,True
346,False,True,True
347,False,True,True
348,True,True,True
349,False,True,True
350,False,True,True
351,False,True,True
352,True,True,True
353,False,True,True
354,True,True,True
355,False,True,True
357,False,True,True
358,False,True,True
359,False,True,True
360,False,True,True
361,False,True,True
362,False,True,True
363,False,True,True
364,False,True,True
365,True,True,True
366,False,True,True
367,False,True,True
368,False,True,True
369,True,True,True
370,False,True,True
371,False,True,True
372,False,True,True
373,True,True,True
374,False,True,True
375,False,True,True
376,True,True,True
377,False,True,True
378,True,True,True
379,False,True,True
380,False,True,True
381,False,True,True
382,False,True,True
383,True,True,True
384,False,True,True
385,False,True,True
386,False,True,True
387,False,True,True
388,False,True,True
389,False,True,True
390,False,True,True
391,True,True,True
392,False,True,True
393,False,True,True
394,False,True,True
395,False,True,True
396,False,True,True
397,False,True,True
398,False,True,True
399,False,True,True
400,False,True,True
401,True,True,True
402,True,True,True
403,False,True,True
404,False,True,True
405,False,True,True
406,True,True,True
407,False,True,True
408,False,True,True
409,True,True,True
410,False,True,True
412,False,True,True
413,True,True,True
414,False,True,True
415,False,True,True
416,False,True,True
417,False,True,True
418,False,True,True
419,True,True,True
420,False,True,True
421,False,True,True
422,False,True,True
423,False,True,True
424,True,True,True
425,False,True,True
426,False,True,True
427,False,True,True
428,False,True,True
429,True,True,True
430,True,True,True
431,True,True,True
432,False,True,True
433,True,True,True
434,False,True,True
435,True,True,True
436,False,True,True
437,False,True,True
438,False,True,True
439,False,True,True
441,False,True,True
442,False,True,True
